Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,99,5070,4296,83,331,774,13,0,495,0,0
C:\Users\USAMA\Desktop\EventHub,99,5070,4296,83,331,774,13,0,495,0,0
C:\Users\USAMA\Desktop\EventHub\EventHub,4,264,198,11,2,66,10,0,12,0,0
C:\Users\USAMA\Desktop\EventHub\attendee,14,285,217,10,21,68,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\attendee\api,3,45,34,0,3,11,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\attendee\migrations,4,108,82,1,0,26,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\comments,14,299,232,4,21,67,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\comments\api,3,41,29,0,3,12,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\comments\migrations,4,115,89,1,0,26,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events,18,1152,963,26,139,189,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\api,3,170,130,1,25,40,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\migrations,8,234,184,2,0,50,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\notification,12,302,238,5,19,64,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\notification\api,3,48,36,0,3,12,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\notification\migrations,2,60,47,1,0,13,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\payment,11,159,112,1,0,47,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\payment\api,3,43,30,0,0,13,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\payment\migrations,2,61,48,1,0,13,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users,23,1287,1055,26,128,232,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\api,3,230,178,5,36,52,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\migrations,11,356,289,4,0,67,0,0,0,0,0
